,repository_name,languague
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-server-side-template,Smarty
3,ads-pao-amznjs-gtm-template,Smarty
4,alexa-coho,JavaScript
5,alexa-skills-kit-js,
6,amazon-ads-advertiser-audience-normalization-sdk-py,Python
7,amazon-advertising-api-php-sdk,PHP
8,amazon-codeguru-profiler-for-spark,Java
9,amazon-frustration-free-setup-certification-tool,Python
10,amazon-hub-counter-api-docs,CSS
11,amazon-hub-counter-api-samples,Java
12,amazon-hub-counter-sdk-java,Java
13,amazon-hub-support,PowerShell
14,amazon-instant-access-sdk-java,Java
15,amazon-instant-access-sdk-net,C#
16,amazon-instant-access-sdk-php,PHP
17,amazon-instant-access-sdk-ruby,Ruby
18,amazon-launcher-integration-cordova-plugin,JavaScript
19,amazon-marketing-stream-examples,Python
20,amazon-mcf-plugin-for-magento-1,PHP
21,amazon-multi-token-completion,Python
22,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
23,amazon-pay-api-sdk-dotnet,C#
24,amazon-pay-api-sdk-java,Java
25,amazon-pay-api-sdk-nodejs,JavaScript
26,amazon-pay-api-sdk-php,PHP
27,amazon-pay-api-sdk-ruby,Ruby
28,amazon-pay-code-samples,PHP
29,amazon-pay-sdk-csharp,C#
30,.github,
31,ads-advanced-tools-docs,Jupyter Notebook
32,ads-pao-amznjs-gtm-server-side-template,Smarty
33,ads-pao-amznjs-gtm-template,Smarty
34,alexa-coho,JavaScript
35,alexa-skills-kit-js,
36,amazon-ads-advertiser-audience-normalization-sdk-py,Python
37,amazon-advertising-api-php-sdk,PHP
38,amazon-codeguru-profiler-for-spark,Java
39,amazon-frustration-free-setup-certification-tool,Python
40,amazon-hub-counter-api-docs,CSS
41,amazon-hub-counter-api-samples,Java
42,amazon-hub-counter-sdk-java,Java
43,amazon-hub-support,PowerShell
44,amazon-instant-access-sdk-java,Java
45,amazon-instant-access-sdk-net,C#
46,amazon-instant-access-sdk-php,PHP
47,amazon-instant-access-sdk-ruby,Ruby
48,amazon-launcher-integration-cordova-plugin,JavaScript
49,amazon-marketing-stream-examples,Python
50,amazon-mcf-plugin-for-magento-1,PHP
51,amazon-multi-token-completion,Python
52,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
53,amazon-pay-api-sdk-dotnet,C#
54,amazon-pay-api-sdk-java,Java
55,amazon-pay-api-sdk-nodejs,JavaScript
56,amazon-pay-api-sdk-php,PHP
57,amazon-pay-api-sdk-ruby,Ruby
58,amazon-pay-code-samples,PHP
59,amazon-pay-sdk-csharp,C#
60,amazon-pay-sdk-java,Java
61,amazon-pay-sdk-php,PHP
62,amazon-pay-sdk-python,Python
63,amazon-pay-sdk-ruby,Ruby
64,amazon-payment-files-tools,Kotlin
65,amazon-payments-magento-2-plugin,PHP
66,amazon-ray,Python
67,amazon-s3-gst-plugin,C
68,amazon-sidewalk-android-samples,
69,amazon-sidewalk-ios-samples,Swift
70,amazon-succinct-doc-representation,Python
71,amazon-template-library,C++
72,amazon-weak-ner-needle,Python
73,amigitenough,Go
74,amzn-drivers,C
75,amzn-ec2-ena-utilities,Python
76,app-platform,Kotlin
77,armbench,Python
78,augment-the-pairs-wacv2024,Python
79,autotrail,Python
80,aws-apigateway-client-lib,
81,aws-sigv4-signing-samples,Java
82,awsssmchaosrunner,Kotlin
83,basis-point-sets,Python
84,BayesPE,Python
85,buy-with-prime-cdk-constructs,TypeScript
86,buy-with-prime-monitoring-sample-cdk,TypeScript
87,chalet-charging-location-for-electric-trucks,Python
88,computer-vision-basics-in-microsoft-excel,
89,confident-sinkhorn-allocation,Jupyter Notebook
90,convolutional-handwriting-gan,Python
91,cosearcher,Python
92,credence-to-causal-estimation,Python
93,data-jack-knife,Java
94,debiased-balanced-interleaving,Jupyter Notebook
95,differential-privacy-bayesian-optimization,Python
96,distance-assistant,Python
97,drs-sample-android-app,Java
98,drs-sample-ios-app,Objective-C
99,emukit-playground,JavaScript
100,eslint-plugin-no-date-parsing,TypeScript
101,exoplayer-amazon-port,Java
102,explainable-text-vqa,
103,extremely-efficient-query-encoder,Python
104,faithful-data2text-cycle-training,Python
105,fashion-attribute-disentanglement,Python
106,fire-app-builder,Java
107,firetv-sample-touch-app,Java
108,ftv-integration-sdk-sample-app,Kotlin
109,ftv-livetv-sample-tv-app,Java
110,gameon-sample-game-unity,C#
111,gameon-starter-kit-unity,C#
112,git-commit-template,JavaScript
113,glad,JavaScript
114,golang-gitoperations,Go
115,halo-third-party-sdk-for-java,Java
116,halo-third-party-sdk-for-node-js,TypeScript
117,halo-third-party-sdk-for-python,Python
118,hawktracer,C++
119,image-misspell-coling2020,
120,image-to-recipe-transformers,Python
121,informative-diverse-hard-negative-sampling,Python
122,ion-cascading-config,Java
123,ion-object-mapper-dotnet,C#
124,jekyll-doc-project,HTML
125,kotlin-inject-anvil,Kotlin
126,kqr,
127,lib-3d-scene-viewer,TypeScript
128,login-with-amazon-oscommerce,PHP
129,login-with-amazon-wordpress,PHP
130,media3-external-port,
131,merlin-on-demand-callgraph,JavaScript
132,metalearn-leap,Python
133,milan,Scala
134,MonitoringCustomMetrics,Python
135,mrc-net-6d-pose,Python
136,multiconer-baseline,Python
137,multilingual-keyphrase-generation,Python
138,multimodal-affinities,Python
139,MXFusion,Python
140,nimbus-jose-jwt_aws-kms-extension,Java
141,node-jose_aws-kms-extension,TypeScript
